Tuesday,"['thứ ba', 'ngày thứ ba', 'thứ Ba', 'Thứ Ba']"
big,"['lớn', 'to', 'bự', 'đại', 'to lớn', 'quan trọng', 'khỏe', 'gộc', 'nậy', 'bụng to', 'có chửa', 'có mang', 'huênh hoang', 'huênh hoang khoác lác', 'hào hiệp', 'khoác lác', 'phóng khoáng', 'ra vẻ quan trọng', 'rộng lượng', 'vĩ đại', 'với vẻ quan trọng']"
big belly,['cannot found']
big head,['cannot found']
big hearted,['cannot found']
big,"['lớn', 'to', 'bự', 'đại', 'to lớn', 'quan trọng', 'khỏe', 'gộc', 'nậy', 'bụng to', 'có chửa', 'có mang', 'huênh hoang', 'huênh hoang khoác lác', 'hào hiệp', 'khoác lác', 'phóng khoáng', 'ra vẻ quan trọng', 'rộng lượng', 'vĩ đại', 'với vẻ quan trọng']"
big mouth,['cannot found']
big and small,['cannot found']
big,"['lớn', 'to', 'bự', 'đại', 'to lớn', 'quan trọng', 'khỏe', 'gộc', 'nậy', 'bụng to', 'có chửa', 'có mang', 'huênh hoang', 'huênh hoang khoác lác', 'hào hiệp', 'khoác lác', 'phóng khoáng', 'ra vẻ quan trọng', 'rộng lượng', 'vĩ đại', 'với vẻ quan trọng']"
loud,"['to', 'inh ỏi', 'lớn', 'sặc sỡ', 'to tiếng', 'ầm ĩ', 'ồn', 'ồn ào', 'rầm', 'huyên náo', 'kịch liệt', 'loè loẹt', 'nhiệt liệt', 'thích nói to', 'thích ồn ào']"
big,"['lớn', 'to', 'bự', 'đại', 'to lớn', 'quan trọng', 'khỏe', 'gộc', 'nậy', 'bụng to', 'có chửa', 'có mang', 'huênh hoang', 'huênh hoang khoác lác', 'hào hiệp', 'khoác lác', 'phóng khoáng', 'ra vẻ quan trọng', 'rộng lượng', 'vĩ đại', 'với vẻ quan trọng']"
big guy,['cannot found']
big,"['lớn', 'to', 'bự', 'đại', 'to lớn', 'quan trọng', 'khỏe', 'gộc', 'nậy', 'bụng to', 'có chửa', 'có mang', 'huênh hoang', 'huênh hoang khoác lác', 'hào hiệp', 'khoác lác', 'phóng khoáng', 'ra vẻ quan trọng', 'rộng lượng', 'vĩ đại', 'với vẻ quan trọng']"
big,"['lớn', 'to', 'bự', 'đại', 'to lớn', 'quan trọng', 'khỏe', 'gộc', 'nậy', 'bụng to', 'có chửa', 'có mang', 'huênh hoang', 'huênh hoang khoác lác', 'hào hiệp', 'khoác lác', 'phóng khoáng', 'ra vẻ quan trọng', 'rộng lượng', 'vĩ đại', 'với vẻ quan trọng']"
to he,['cannot found']
curious,"['tò mò', 'hiếu kỳ', 'kỳ lạ', 'lạ lùng', 'đánh dấu trọng âm', 'ham hiểu biết', 'kỳ quái']"
to te,['cannot found']
court,"['tòa án', 'sân', 'triều đình', 'tìm hiểu', 'phố cụt', 'tìm cách đạt được', 'đón lấy', 'chuốc', 'sân chơi', 'toàn án', 'triều thần', 'tòa', 'cầu', 'buổi chầu', 'chuốc lấy', 'cung diện', 'phiên toà', 'pháp viện', 'quan toà', 'quyến rũ', 'quần thần', 'rước lấy', 'sân nhà', 'sẹ tán tỉnh', 'sự ve vãn', 'toà án', 'tranh thủ', 'tán tỉnh', 'tỏ tình', 've vãn', 'viện', 'Tòa án', 'cung điện', 'quan tòa']"
wasp,"['ong bắp cày', 'ong', 'ong vò vẽ', 'Wasp', 'ong vẽ']"
express,"['bày tỏ', 'tốc hành', 'biểu hiện', 'biểu lộ', 'rõ ràng', 'diễn tả', 'diễn đạt', 'hoả tốc', 'tỏ', 'nhanh', 'chuyển phát nhanh', 'hỏa tốc', 'người đưa thư hỏa tốc', 'ép', 'vắt', 'bóp', 'biểu diễn', 'biểu thị', 'biểu đạt', 'công văn hoả tốc', 'gửi hoả tốc', 'ngỏ lời', 'như hệt', 'như in', 'như tạc', 'nói rõ', 'phát biểu', 'phát biểu ý kiên', 'phô diễn', 'súng bắn nhanh', 'thể hiện', 'tiền gửi hoả tốc', 'xe lửa tốc hành', 'xe nhanh']"
opine,"['cho rằng', 'chủ trương là', 'phát biểu']"
reveal,"['tiết lộ', 'biểu lộ', 'phát giác', 'bày', 'bộc lộ', 'khám phá', 'phanh phui', 'tỏ ra', 'để lộ', 'công bố']"
show,"['tỏ ra', 'chỉ', 'cho xem', 'dẫn', 'cho thấy', 'trưng bày', 'tỏ', 'dạy', 'dắt', 'hiện ra', 'sự trưng bày', 'thể hiện', 'tỏ rõ', 'bày', 'trình', 'diễn', 'việc', 'biểu lộ', 'buổi biểu diễn', 'buổi diễn', 'buổi trưng bày', 'bộc', 'vẻ bề ngoài', 'ấn tượng', 'chìa', 'bảo', 'giơ', 'dịp', 'nhe', 'đua', 'biểu dương', 'biểu thị', 'bày vẽ', 'bề ngoài', 'bộc lộ', 'chiến dịch', 'chỉ ra', 'chứng tỏ', 'cuộc biểu diễn', 'cuộc triển lãm', 'công việc kinh doanh', 'cơ hội', 'hình thức', 'lòi ra', 'nước đầu ối', 'phô bày', 'phù hoa', 'ra trước công chúng', 'sự bày tỏ', 'sự giả bộ', 'sự giả đò', 'sự khoe khoang', 'sự phô trương', 'trông rõ', 'tỏ vẻ', 'việc làm ăn', 'xuất hiện', 'xuất trình', 'đưa cho xem', 'hiện', 'biểu', 'thị', 'vở', 'biểu diễn', 'chương trình', 'chỉ bảo', 'lộ ra', 'nỗ lực', 'triển lãm', 'trình diễn', 'vở chèo', 'vở diễn', 'vở kịch', 'vở tuồng']"
shine,"['chiếu sáng', 'soi sáng', 'tỏa sáng', 'sáng', 'bóng', 'trội', 'giỏi', 'sự đánh bóng', 'ánh', 'chiếu', 'cừ', 'giọi', 'chiếc sáng', 'nước bóng', 'sự cãi nhau', 'sự huyên náo', 'toả sáng', 'trò chơi xỏ', 'ánh nắng', 'ánh sáng', 'đánh bóng']"
make it clear,['cannot found']
make it clear,['cannot found']
show,['cannot found']
car,['cannot found']
court,['cannot found']
court,['cannot found']
news headquater,['cannot found']
father's court,['cannot found']
pulpit,"['bục giảng', 'giảng đài', 'toà giảng', 'tòa giảng', 'bục giảng kinh', 'buồng lái', 'các linh mục', 'các nhà thuyết giáo', 'diễn đài', 'nghề giảng kinh', 'nghề thuyết giáo', 'sự giảng kinh', 'sự thuyết giáo']"
Lotus Tower,['cannot found']
editorial office,['cannot found']
Holy See,['cannot found']
radiate,"['bức xạ', 'chiếu', 'tỏa ra', 'bắn tia', 'phát ra', 'phát thanh', 'phát xạ', 'toả ra', 'toả ra chiếu ra', 'xoè ra', 'tỏa']"
solstice,"['hạ chí', 'điểm chí', 'chí', 'chí điểm', 'Điểm chí']"
radiating,['cannot found']
exothermal,"['toả nhiệt', 'phát nhiệt']"
talkshow,['cannot found']
Post Office,['cannot found']
coordinates,['toạ độ']
enjoy,"['thích thú', 'hưởng', 'có được', 'đánh dấu trọng âm', 'được', 'khoái', 'hưởng thụ', 'thưởng ngoạn', 'thưởng thức', 'tận hưởng', 'tọa hưởng', 'được hưởng']"
enjoy citadel,['cannot found']
located,['xaùc ñònh ñöôïc ñuùng vò trí']
zi,['cannot found']
zazen,['cannot found']
tooak,['cannot found']
ripped,['cannot found']
toi,['cannot found']
Satisfied,"['khoái', 'bằng lòng', 'hài lòng', 'hả', 'hể hả', 'mãn nguyện', 'thoả lòng', 'thích ý', 'thỏa lòng', 'toạc', 'vừa lòng', 'đành lòng', 'đắc chí', 'đẹp lòng', 'cảm thấy hài lòng', 'cảm thấy thỏa mãn', 'thỏa mãn']"
Satisfied,"['khoái', 'bằng lòng', 'hài lòng', 'hả', 'hể hả', 'mãn nguyện', 'thoả lòng', 'thích ý', 'thỏa lòng', 'toạc', 'vừa lòng', 'đành lòng', 'đắc chí', 'đẹp lòng', 'cảm thấy hài lòng', 'cảm thấy thỏa mãn', 'thỏa mãn']"
satisfied,"['khoái', 'bằng lòng', 'hài lòng', 'hả', 'hể hả', 'mãn nguyện', 'thoả lòng', 'thích ý', 'thỏa lòng', 'toạc', 'vừa lòng', 'đành lòng', 'đắc chí', 'đẹp lòng', 'cảm thấy hài lòng', 'cảm thấy thỏa mãn', 'thỏa mãn']"
contented,"['vừa lòng', 'bằng lòng', 'hài lòng', 'mãn nguyện', 'thoả mãn', 'toại nguyện', 'vừa ý', 'đành lòng', 'thỏa mãn']"
attempt,"['cố gắng', 'mưu hại', 'gắng', 'thử', 'sự cố gắng', 'toan', 'chiếm lấy', 'lăm le', 'mưu sát', 'mưu toan', 'nỗ lực', 'phạm đến', 'sự mưu hại', 'sự phạm đến', 'sự thử', 'sự xâm phạm', 'thử đánh chiếm', 'vượt qua', 'xâm phạm', 'sự tấn công']"
calculation,"['sự tính toán', 'phép tính', 'sự tính', 'tính', 'dự kiến', 'kết quả tính toán', 'sự cân nhắc', 'sự trù liệu', 'sự trù tính', 'sự đắn đo', 'tính toán']"
full,"['đầy', 'đày', 'đầy đủ', 'no', 'no nê', 'toàn phần', 'hoàn toàn', 'trọn vẹn', 'trọn', 'toàn', 'cả', 'nhiều', 'tròn', 'đông', 'rất', 'chật', 'no bụng', 'trực tiếp', 'quá', 'đúng', 'đậm', 'phồng', 'thuần', 'ruột', 'doanh', 'chói', 'thẫm', 'trúng', 'giữa', 'chan chứa', 'chuội và hồ', 'chính thức', 'chật ních', 'hoàn bị', 'hết chỗ ngồi', 'hết sức', 'lùng nhùng', 'nở nang', 'sang sảng', 'thịnh soạn', 'toàn bộ', 'toàn thể', 'tràn ngập', 'tràn trề', 'tất cả', 'xếp nhiều nếp', 'điểm cao nhất', 'đông đảo', 'đầy // hoàn toàn', 'đầy đặn', 'đủ số', 'phải']"
totally,"['hoàn toàn', 'toàn bộ', 'tổng cộng']"
perfect,"['hoàn hảo', 'hoàn toàn', 'hoàn thành', 'đúng', 'hoàn thiện', 'hoàn mỹ', 'mỹ mãn', 'tuyệt', 'làm hoàn hảo', 'làm hoàn toàn', 'phương viên', 'thành thạo', 'thập toàn', 'thời hoàn thành', 'vẹn toàn', 'vẹn vẽ', 'đầy đủ', 'cừ', 'chính xác', 'rất giỏi', 'rất tốt', 'tuyệt trần', 'tuyệt vời', 'xuất sắc', 'ưu tú']"
total,"['tổng số', 'tổng cộng', 'tổng', 'toàn bộ', 'cộng', 'cộng lại', 'hoàn toàn', 'lên tới', 'toàn phần', 'tổng số lên tới', 'tất cả']"
Global,"['toàn cầu', 'toàn bộ', 'chung', 'quả đất', 'thuộc biến số chung', 'thuộc toàn cầu', 'thuộc tổng quát', 'toàn cục', 'toàn thể', 'xét toàn diện']"
overview,"['sự khái quát', 'toàn cảnh', 'tổng quan']"
whole family,['cannot found']
full force,['cannot found']
all america,['cannot found']
Almighty,"['đấng toàn năng', 'Toàn Năng', 'đại', 'có mọi quyền lực', 'hết sức', 'hết sức lớn', 'quyền tối cao', 'thượng đế']"
totality,"['tổng', 'thực toàn phần', 'toàn bộ', 'tổng số']"
whole army,['cannot found']
nationwide,"['khắp cả nước', 'toàn quốc']"
governor,"['thống đốc', 'thống sử', 'chủ', 'bố', 'Thống đốc', 'cha', 'chúa', 'Tri sự', '[bộ', 'cái ổn định', 'cái] điều khiển', 'kẻ thống trị', 'thủ hiến', 'thủ lĩnh', 'tỉnh trưởng', 'tổng đốc']"
full talent,['cannot found']
full episode,['cannot found']
victorious,"['chiến thắng', 'khải hoàn', 'thắng cuộc']"
Body,"['thân thể', 'thân', 'thể', 'cơ thể', 'vật thể', 'người', 'mình', 'thây', '身體', 'thi thể', 'xác', 'xác chết', 'hội', 'cơ quan', 'hòm xe', 'mình mẩy', 'phần chính yếu', 'chất', 'nhóm', 'khối', 'đoàn', 'phường hội', 'số lượng lớn', 'xô viết', 'vật', 'ban', 'nhiều', 'đội', 'con người', 'hình hài', 'hội đồng', 'nhục thể', 'rigid b', 'thể hiện', 'thể xác', 'tượng trưng', 'phần soạn thảo']"
whole,"['toàn bộ', 'toàn thể', 'tất cả', '全部', '全體', 'cả', 'hết cả', 'nguyên', 'tổng', 'cùng', 'bình an vô sự', 'chu toàn', 'khoẻ mạnh', 'không hư hỏng', 'không suy suyển', 'nguyên chất', 'nguyên vẹn', 'trọn vẹn', 'tất c', 'đầy đủ']"
whole town,['cannot found']
perfect,"['hoàn hảo', 'hoàn toàn', 'hoàn thành', 'đúng', 'hoàn thiện', 'hoàn mỹ', 'mỹ mãn', 'tuyệt', 'làm hoàn hảo', 'làm hoàn toàn', 'phương viên', 'thành thạo', 'thập toàn', 'thời hoàn thành', 'vẹn toàn', 'vẹn vẽ', 'đầy đủ', 'cừ', 'chính xác', 'rất giỏi', 'rất tốt', 'tuyệt trần', 'tuyệt vời', 'xuất sắc', 'ưu tú']"
full prosperity,['cannot found']
integrity,"['chính trực', 'tình trạng nguyên vẹn', 'tình trạng toàn vẹn', 'tính chính trực', 'tính liêm chính', 'tính nguyên', 'tính toàn bộ', 'tính toàn vẹn', 'sự liêm chính', 'toàn vẹn', 'trung thực']"
maths,"['toán học', 'môn toán', 'toán']"
math,"['toán học', 'toán']"
calculus,"['giải tích', 'phép tính', 'phép vi tích phân', 'tính toán', 'Vôi răng', 'vi tích phân', 'vôi răng']"
mathematic,['toán học']
chief accountant,['cannot found']
tong,['cannot found']
open up,['cannot found']
wild,"['dại', 'rừng', 'hoang dã', 'hoang vu', 'nhiệt liệt', 'phóng túng', 'dã', 'điên', 'bừa b i', 'dữ dội', 'lung tung', 'rồ dại', 'điên cuồng', 'cuồng', 'rối', 'b o táp', 'chưa dạn người', 'chưa thuần', 'chưa văn minh', 'cuồng nhiệt', 'hoang dại', 'không người ở', 'liều mạng', 'lêu lổng', 'lộn xộn', 'man di', 'man rợ', 'ngông cuồng', 'tự do', 'vu v', 'vùng hoang vu', 'hoang', 'hỗn loạn']"
open,"['mở', 'hở', 'ngỏ', 'công khai', 'khai mạc', 'đóng', 'bắt đầu', 'mở cửa', 'thoáng rộng', 'trống', 'há', 'giãi', 'xòe', 'thông', 'bỏ ngỏ', 'giở', 'phiên âm', 'sẵn sàng làm việc', 'nở', 'hả', 'phanh', 'trần', 'buông', 'thưa', 'xoè', 'dịu', 'ai cũng biết', 'biên khơi', 'chưa ai đảm nhiệm', 'chưa giải quyết', 'chưa xong', 'chỗ hở', 'chỗ mở', 'chỗ ngoài trời', 'chỗ rộng râi', 'chỗ thoáng mát', 'còn bỏ trống', 'có lỗ hổng', 'có thể bị', 'cởi mở', 'khai mào', 'không bị tắn nghẽn', 'không bọc', 'không che giấu', 'không có mui che', 'không có sương mù', 'không cấm', 'không gói', 'không hạn chế', 'không thành kiến', 'không đóng băng', 'lộ thiên', 'mở ra', 'mở ra cho', 'mở rộng', 'nhìn thấy', 'phóng khoáng', 'quang minh', 'quang đãng', 'ra mắt', 'rõ ràng', 'rộng rãi', 'sự công khai', 'thật tình', 'thổ lộ', 'trông ra', 'trông thấy', 'trông thấy rõ', 'vỡ mủ', 'ấm áp', 'khai', 'thẳng thắn']"
open up,['cannot found']
exaggerated,"['quá quắt', 'quá xá']"
yang yang,['cannot found']
compendium,"['bản trích yếu', 'bản tóm tắt', 'toát yếu']"
hair,"['tóc', 'lông', 'bộ lông', 'mái tóc', 'tự nhiên', 'xuềnh xoàng', 'sợi lông', 'Lông', 'toùc', '毛']"
White hair,['cannot found']
sideburns,"['râu mép', 'tóc mai dài', 'tóc mai']"
blood hair,['cannot found']
cloud hair,['cannot found']
itchy hair,['cannot found']
bamboo root hair,['cannot found']
deep hair,['cannot found']
dew hair,['cannot found']
swear hair,['cannot found']
fairy's hair,['cannot found']
silk hair,['cannot found']
blue hair,['cannot found']
nosy,"['thọc mạch', 'lắm chuyện', 'nhiều chuyện', 'đa sự', 'đa đoan', 'ngát', 'thơm', 'có mùi hôi thối', 'có mũi to', 'hay sục sạo', 'thành mũi', 'tò mò']"
toe,"['ngón chân', 'chân', 'mũi', 'chết', 'vá', 'sút', 'bỏ đời', 'ngón tay', 'đá đít', 'đóng mũi', 'đặt ngón chân vào', 'ổ đứng', 'Ngón chân']"
toe toe,['cannot found']
grinning,['cannot found']
toe,"['ngón chân', 'chân', 'mũi', 'chết', 'vá', 'sút', 'bỏ đời', 'ngón tay', 'đá đít', 'đóng mũi', 'đặt ngón chân vào', 'ổ đứng', 'Ngón chân']"
splash,"['té', 'tõm', 'ùm', 'tùm', 'bắn lên', 'chấm loáng thoáng', 'vết bùn', 'đốm bẩn', 'tóe', 'văng ra', 'văng', 'bắn toé', 'làm bắn toé', 'lội lõm bõm', 'phấn bột gạo', 'sự bắn toé', 'văng lên', 'vế đốm', 'điểm loáng thoáng', 'vẩy', 'vết đốm']"
old age,['cannot found']
big,"['lớn', 'to', 'bự', 'đại', 'to lớn', 'quan trọng', 'khỏe', 'gộc', 'nậy', 'bụng to', 'có chửa', 'có mang', 'huênh hoang', 'huênh hoang khoác lác', 'hào hiệp', 'khoác lác', 'phóng khoáng', 'ra vẻ quan trọng', 'rộng lượng', 'vĩ đại', 'với vẻ quan trọng']"
twit,"['trách', 'chê trách', 'quở mắng', 'kẻ ngu ngốc', 'thằng ngu', 'thằng ngốc']"
I,"['tôi', 'tao', 'ta', 'tớ', 'mình', 'tui', 'em', 'con', 'một', 'mỗ', 'vật hình I', 'đằng này', 'anh', 'cháu', 'mẹ', 'bố', 'chữ cái I', 'chị', 'cha', 'chú', 'cô', 'bác', 'ông', 'cậu', 'dì', 'bà', 'đệ', 'mợ', 'dượng', 'thím', 'bác gái']"
I have rice,['cannot found']
I'm online,['cannot found']
explore,"['thám hiểm', '探險', 'khám phá', 'khảo sát tỉ mỉ', 'thăm dò', 'nghiên cứu', 'thông dò']"
garlic,"['tỏi', 'củ tỏi', 'cây tỏi', 'Tỏi', 'tối']"
Garlic Chicken,['cannot found']
leek,"['tỏi tây', 'Tỏi tây']"
tom,['của Thomas']
collect,"['sưu tầm', 'tham gia', 'thu thập', 'tụ tập', 'sưu tập', 'thu lượm', 'góp nhặt', 'thu', 'góp', 'gom', 'ghép', 'nhóm', 'thu hoạch', 'đón', 'cóp nhặt', 'dồn lại', 'quần tụ', 'rút ra', 'suy ra', 'thu gom', 'tom góp', 'tập hợp', 'tập hợp lại', 'tập trung', 'tổng hợp', 'tụ hợp lại', 'đi lấy', 'đến lấy', 'đọng lại', 'ứ lại', 'thập', 'tụ', 'gắp']"
dead tom,['cannot found']
tom,['của Thomas']
tom stamp,['cannot found']
smack,"['tát', 'vỗ', 'thoáng có vị', 'chép', 'vẻ', 'bớp', 'quất', 'chép môi', 'cái hôi kêu', 'cái tát', 'cái vỗ', 'cái đập', 'có mùi là lạ', 'có vẻ', 'có vị là lạ', 'cú đập mạnh', 'mùi thoang thoảng', 'một chút', 'thoáng có mùi', 'tiếng bốp', 'tiếng chát', 'tiếng chép môi', 'tàu đánh cá', 'tạt tai', 'vị thoang thoảng', 'vụt kêu vun vút', 'đánh bốp một cái', 'đánh chát một cái', 'đúng ngay vào', 'phát', 'tạt']"
catch,"['bắt', 'chộp lấy', 'đuổi kịp', 'mắc', 'vướng', 'móc', 'kẹp', 'bắt gặp', 'bắt lấy', 'bắt lửa', 'cái bẫy', 'cái gài', 'tóm', 'kẹt', 'chụp', 'đánh', 'nhiễm', 'mắc bệnh', 'tắc nghẹn', 'vướng vào', 'vừa', 'xe', 'giữ', 'đoạn', 'giáng', 'đớp', 'bấu', 'nén', 'bén', 'vịn', 'bắt kịp', 'bắt được quả tang', 'bị nhiễm', 'chặn đứng', 'chợt gặp', 'chợt thấy', 'cái bắt', 'cái chốt cửa', 'cái chộp', 'cái hãm', 'cái móc', 'cái then cửa', 'cái vồ', 'câu hỏi mẹo', 'câu được', 'hiểu được', 'khoá dừng', 'lôi cuốn', 'máy hãm', 'món bở', 'mưu kế lừa người', 'mắc vào', 'mẻ cá', 'nhiều người bị bắt', 'nhận ra', 'níu lấy', 'nắm lấy', 'nắm được', 'sự bắt', 'sự nắm lấy', 'sự đánh cá', 'theo kịp', 'thu hút', 'tóm lấy', 'víu lấy', 'vật bị túm được', 'ăn khớp', 'đánh bắt', 'đánh được', 'đóng băng', 'bận', 'tiếp']"
grab,"['chộp', 'tóm', 'túm', 'bắt', 'chộp lấy', 'bóp', 'chụp', 'lấy', 'vơ', 'đoạt', 'chụp lấy', 'cái chộp', 'lối chơi gráp', 'sự chiếm đoạt', 'sự cố tóm lấy', 'sự tóm', 'sự túm lấy', 'sự tước đoạt', 'sự vồ lấy', 'túm lấy', 'tước đoạt', 'vồ lấy', 'chiếm', 'vịn']"
In short,['cannot found']
summary,"['giản lược', 'bản tóm tắt', 'tóm tắt', 'bài tóm tắt', 'sơ giản', 'sơ lược', 'sơ sịa', 'tóm lại']"
summarize,"['tóm tắt', 'tổng kết', 'đúc kết']"
singing song,['cannot found']
ton,"['tấn', 'ton', 'âm', 'rất nhiều']"
dangling,"['lủng lẳng', 'đu đưa']"
tong,['cannot found']
describe,"['mô tả', 'tả', 'diễn tả', 'miêu tả', 'vạch', 'cho là', 'vẽ', 'coi là', 'định rõ tính chất']"
tong tong,['cannot found']
submit,"['đệ trình', 'trình', 'chịu', 'chịu phục tùng', 'đệ', 'cáo', 'cam chịu', 'chịu phụ thuộc', 'chịu sự kiểm tra', 'khuất phục', 'quy phục', 'trịnh trọng trình bày', 'đưa ra ý kiến là']"
join army,['cannot found']
bow down,['cannot found']
school,"['trường', 'trường học', 'trường phái', 'trường đại học', 'đại học', 'học đường', 'cao đẳng', 'học sinh của một trường', 'trường dạy nghề', 'học', 'đàn cá', 'buổi học', 'bơi thành bầy', 'bầy cá', 'cho đi học', 'dạy dỗ giáo dục', 'giảng đường', 'giờ học', 'giờ lên lớp', 'hiện trường', 'học hiệu', 'học phái', 'hợp thành đàn', 'môn học', 'môn phái', 'môn sinh', 'môn đệ', 'nhà trường', 'phòng học', 'phòng thi', 'sách dạy đàn', 'sự thi', 'sự đi học', 'trường sở', 'viện', '學']"
join together,['cannot found']
accomplice,"['kẻ tòng phạm', 'tòng phạm', 'kẻ đồng loã', 'đồ đảng', 'đồng lõa', 'kẻ đồng lõa', 'đồng mưu', 'đồng phạm']"
follower,"['môn đệ', 'theo', 'bộ nhắc lại', 'bộ phận bị dẫn', 'bộ theo dõi', 'giáo đồ', 'môn đồ', 'mắc sao lại', 'người bắt chước', 'người hầu', 'người theo', 'người theo dõi', 'người theo gót', 'người ủng hộ']"
join army,['cannot found']
apostate,"['bỏ đạo', 'bỏ đảng', 'bội giáo', 'người bỏ đạo', 'người bỏ đảng', 'người bội giáo']"
tong,['cannot found']
chong,['cannot found']
top,"['đỉnh', 'đánh quay', 'đầu', 'ngọn', 'chóp', 'mui', 'nóc', 'con quay', 'đứng đầu', 'mặt', 'cái nắp', 'cực điểm', 'nhất', 'top', 'vượt', 'chỏm', 'vung', 'mỏm', '行頭', '頂', 'bấm ngọn', 'cao hơn', 'cao nhất', 'cao đến', 'chụp lên', 'con cù', 'cắt phần trên', 'hàng đầu', 'lên đến đỉnh', 'mức cao', 'phía trên', 'số cao nhất', 'thượng đỉnh', 'trên hết', 'tối đa', 'tột đỉnh', 'đo được', 'đặt ở trên', 'đỉnh cao', 'ở ngọn', 'ở trên đỉnh', 'thượng', '主動', '頭', 'chủ động', 'mặt trên', 'Đánh quay']"
Greaves,"['tóp mỡ', 'xà cạp']"
tweezers,"['nhíp', 'cái nhíp', 'cái kẹp', 'cái cặp']"
toi,['cannot found']
soot,"['bồ hóng', 'muội', 'nhọ nồi', 'nhọ', 'mồ hóng', 'phủ bồ hóng', 'phủ muội', 'phủ nhọ nồi']"
great,"['vĩ đại', 'tuyệt', 'đại', 'to lớn', 'lớn', 'giỏi', 'rất', 'tuyệt vời', 'hùng tráng', 'hùng vĩ', 'lớn lao', 'rất hài lòng', 'to', 'thân', 'ca cả', 'cao quý', 'cao thượng', 'hiểu rõ', 'hiểu tường tận', 'hết sức', 'những người vĩ đại', 'thạo cừ', 'thật là thú vị', 'to tát', 'tuyệt hay', 'vĩ', 'mạnh', 'thạo', 'quan trọng', 'đáng kể']"
soo,['cannot found']
bowl,"['bát', 'chén', 'cái bát', 'tô', 'lăn', 'long', 'cối tẩu', 'quả bóng bowling', 'nõ', 'đọi', 'chơi ném bóng gỗ', 'quả bóng gỗ', 'sự chè chén', 'sự ăn uống', 'trò chơi bóng gỗ', 'trò chơi kí', 'bồn', 'âu', 'Bát ăn', 'bát ăn', 'sân vận động']"
"make up, decorate",['cannot found']
concession,"['sự nhượng bộ', 'nhượng địa', 'sự nhường', 'sự nhượng', 'tô giới', 'đất nhượng', 'đồn điền']"
To ho,['cannot found']
paint pink,['cannot found']
totem,"['tô-tem', 'vật tổ', 'Tôtem']"
paint,"['sơn', 'vẽ', 'nước sơn', 'quét sơn', 'vẽ tranh', 'phấn', 'hoạ', 'hộp thuốc màu', 'hộp thuốc vẽ', 'mô tả', 'sơn màu', 'thoa phấn', 'thuốc màu', 'tô vẽ', 'đánh phấn', 'Sơn']"
bad,"['xấu', 'tồi', 'dở', '醜', 'tệ', 'ác', 'nặng', 'kém', 'hỏng', 'bậy', 'hư', 'nợ khó đòi', 'thiu', 'khó chịu', 'dữ', 'thấp', 'thối', 'bết', 'ươn', 'bất hảo', 'bất lương', 'cà mèng', 'có hại cho', 'cập kèm', 'nguy hiểm cho', 'trầm trọng', 'tệ hại', 'tồi tệ', 'xấu xa', 'đen đủi', 'có hại', 'nghiêm trọng']"
nest,"['ổ', 'làm tổ', 'tổ', 'bắt tổ chim', 'nơi ẩn náu', 'sào huyệt', 'tìm tổ chim', 'tổ chim', 'tổ ấm', 'xếp lồng vào nhau', 'đặt vào ổ', 'ẩn mình', 'ẩn núp', 'Tổ', 'trú']"
home,"['nhà', 'quê hương', 'chỗ ở', 'đích', 'tổ quốc', 'gia đình', 'nơi chôn', 'nhà cửa', 'nhà ở', 'nơi sinh', 'quê', 'viện', 'chủ nhà', 'mái ấm', 'nội địa', 'sân nhà', 'thuộc về nhà', 'trại dưỡng lão', 'tại nhà', 'tại nhà mình', 'ở tại nhà', 'ở nhà', 'trại', 'nước nhà', 'trại mồ côi', 'trở về nhà', 'nội', 'chốn', 'trúng', 'gia', 'cho hồi hương', 'cho về nhà', 'chạm nọc', 'chỗ sinh sống', 'có gia đình', 'có nhà', 'hồi hương', 'quê nhà', 'trúng tim đen', 'trúng địch', 'trở về quê hương', 'tạo một tổ ấm', 'tổ ấm', 'về nhà', 'về nước', 'về quê', 'về quê hương', 'đưa về nhà', 'đến cùng', 'đến nhà', 'địa phương', 'ở gia đình', 'ở gần nhà', 'ở trong nước', 'cái nhà']"
father's ancestor,['cannot found']
lice nest,['cannot found']
organization,"['tổ chức', 'sự tổ chức', 'cơ quan', 'đoàn thể', 'hội đoàn', 'tổ họp', 'việc tổ chức', 'sự cấu tạo', 'hội']"
leech nest,['cannot found']
change team,['cannot found']
combination,"['tổ hợp', 'sự kết hợp', 'sự tổ hợp', 'sự phối hợp', 'hội', 'combination_lock', 'hợp chất', 'kết hợp', 'nghiệp đoàn', 'sự hoá hợp', 'tập đoàn', 'xe mô tô thùng']"
cooperative group,['cannot found']
sample nest,['cannot found']
ancestor,"['tổ tiên', '祖先', 'ông bà', 'ông vãi', 'ông vải', 'ông tổ']"
hive,"['tổ ong', 'trữ', 'chứa', 'bầy đàn lúc nhúc', 'vào tổ', 'vật hình tổ ong', 'đám đông', 'đõ ong', 'đàn ong']"
vice team leader,['cannot found']
forefather,['tổ tiên']
